Url,ExpirationOn,CertExpiresInDays,CheckResult,Details,Server,Service
https://careerassist.ahima.org,11/19/2020 17:31,27,WARNING,"Cert for site https://careerassist.ahima.org expires in 27 days [on 11/19/2020 17:31:28]
Threshold is 60 days. Check details:
Cert name: CN=careerassist.ahima.org
Cert public key: 3082020A0282020100B52293F3537FEBE219EC31614FF11F181D5FC1F1A4AE849D14950D5800120A3ACA9A9E07075614B513F608F507E1586A41040901CD0538511671458DF18D187A61A1DDE85607CB747502F17F58C26DDD197B9055B923BDC1738A621B0149196DE0E1D8D09080C46F6AF64954B4A367B29458A8B6F6720E77CDCC426F0193C841C4945B2223EAC762D74D31BBEE6EA64E96D56B6DEF4DEB819798AA225530E62C19280A7AEB3280171BEC51615DBAC61A79D49B29D4889A3A073248456C93514F81765C29B09FAB1AEED6A26E416ADB9D62A1896657DB73A526AC799AF4F8B53311F6EB7F7FE522CFC178629B8090EC985ED91075724C492AE4CC857643057E49A910A8785D780B7C5396100A9DEB0DBCABAF060E1F4AA2607AC04ECF2462546D2B26C960DDA9FC7420950DCCBAD133CAE4800E21E8753E99D322C258D908CC8F74542C765B238F9E9AED11DAC1C91F609BE9EB1BC20F32E0860A7157AA36A223CC4F297D35C20611FC8C946B5B354D49C7ED885F6C26B2EBEDF80C074FA8BEE7D529EFEE603A4E8C1050FB392FCBC7C6C76B05BC932F58F8011AB864CA4B7EE2A15865929CAFFA575F8DF483F1899EA5B7527306FA94A99C6CD9C1E251FB11048ED00FBAB38C64600FC5483392D3CDD32FCABED43FF27A42C76176B6225C0630690DB066CE65FA70ACCBC03493923FAAF840A86F28CC6323E85268D4CC426CED0203010001
Cert serial number: 031E2580ADB9E49CBCE6BE784A6239B71E2B
Cert thumbprint: AE2E8DE8205B6169339C6A732F3211012C9A658F
Cert effective date: 8/21/2020 6:31:28 PM
Cert issuer: C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,
https://catalog.ahima.org,1/17/2021 21:04,86,OKAY,,,
https://cms.ahima.org,9/8/2022 15:09,685,OKAY,,,Web_production
https://cms.qa.ahima.org,8/17/2021 15:30,298,OKAY,,,
https://cms-test.ahima.org,9/8/2022 15:09,685,OKAY,,,Web_Test
https://conference.ahima.org,11/25/2020 8:30,32,WARNING,"Cert for site https://conference.ahima.org expires in 32 days [on 11/25/2020 08:30:52]
Threshold is 60 days. Check details:
Cert name: CN=conference.ahima.org
Cert public key: 3082010A0282010100ACF40545AB9667394689E89C953C78C73B834466E33A4154DE4334056C31316EB8EB451D6923023249D4C13875EA48CD9F3213FE034E95520AE80C64CC180B1BAFE3DC3EEAE2CCAE2756552C48C8FCFE69B679B3A7659FD1F09C7E861EA1DABD4921636526CECF7913FAE2361FF35035BC8A6397F4E80FC19E651A473BE325C6BF8177D58EC6FFC589E3C9C767DD9350A5F82AB7BE179BD369577E4D80100560DA69A7E7C5D50F2A9BDE2558E1EB9D21CB5ABB9A331DB5E35AC5731C81001F9CF614B86068FD458D7D7D095905C2BCC83BCE169861127A65E730F5A94B1D6613939D3DBA4151B4D07B359AFC7FCEADC585F1405E472A4743576DF77A5B72ADC90203010001
Cert serial number: 032B8A6C0E28A2DBFB34296EB4CB0A0CAF5A
Cert thumbprint: FD08B74F9DA45D92CCF89A0B26A4A0CF101A2B62
Cert effective date: 8/27/2020 9:30:52 AM
Cert issuer: C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,
https://convention.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1cld06 & 07,
https://courseshare.ahima.org,9/8/2022 15:09,685,OKAY,,Ch1cld06 & 07,
https://csaleaders.ahima.org,,,ERROR,"Exception while checking URL https://csaleaders.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
https://eduperspectives.ahima.org,,,ERROR,"Exception while checking URL https://eduperspectives.ahima.org: Exception calling ""GetResponse"" with ""0"" argument(s): ""The remote server returned an error: (404) Not Found."" ",,
